Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Demand Difference,Stock Coverage,Stock-Out Risk,Reorder Recommendation
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,8.469999999999999,1.8188976377952757,Low,No Action
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,-5.960000000000008,1.36,Medium,Monitor
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,9.019999999999996,1.5692307692307692,Medium,Monitor
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,1.1799999999999997,7.688524590163935,Low,No Action
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,-4.74,11.857142857142858,Low,No Action
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,11.819999999999993,1.078125,High,Reorder
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,11.920000000000002,3.7010309278350517,Low,No Action
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,17.730000000000018,1.2179487179487178,Medium,Monitor
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,-0.8499999999999943,1.0457142857142858,Medium,Monitor
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,-3.530000000000001,3.857142857142857,Low,No Action
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,2.740000000000009,1.72,Low,No Action
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,2.75,2.75,Low,No Action
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,-0.5399999999999991,2.2857142857142856,Low,No Action
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,-5.2,16.083333333333332,Low,No Action
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,-5.5400000000000205,1.02710027100271,Medium,Monitor
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,0.7400000000000091,1.423529411764706,Medium,Monitor
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,9.370000000000005,1.2926829268292683,Medium,Monitor
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,-3.7299999999999898,1.596026490066225,Low,No Action
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,10.379999999999995,1.3696498054474708,Medium,Monitor
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,16.230000000000004,2.7676767676767677,Low,No Action
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,8.549999999999997,3.298076923076923,Low,No Action
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,-5.3799999999999955,2.645390070921986,Low,No Action
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,-5.689999999999998,2.4450549450549453,Low,No Action
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,-8.43,3.0317460317460316,Low,No Action
2022-01-01,S002,P0005,Toys,West,281,156,25,150.9,83.29,-5.099999999999994,1.8012820512820513,Low,No Action
2022-01-01,S002,P0006,Furniture,North,492,250,168,242.57,85.59,-7.430000000000007,1.968,Low,No Action
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,8.480000000000018,1.1704834605597965,Medium,Monitor
2022-01-01,S002,P0008,Electronics,West,304,29,99,35.54,66.96,6.539999999999999,10.482758620689655,Low,No Action
2022-01-01,S002,P0009,Clothing,South,113,9,84,14.78,81.29,5.779999999999999,12.555555555555555,Low,No Action
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,6.75,1.246031746031746,Medium,Monitor
